id,user_id,created,updated,area_id,country,status,tag,deleted
60210,476,2021-02-03 18:33:16+00:00,2021-02-03 18:33:16+00:00,11450.0,,,Home,0
60250,476,2021-02-03 19:10:52+00:00,2021-02-03 19:10:52+00:00,11473.0,,,Other,0
60944,646,2021-02-14 15:59:21+00:00,2021-03-07 13:50:53+00:00,11457.0,,,Home,0
61920,710,2021-03-11 18:17:18+00:00,2021-03-11 18:17:18+00:00,11435.0,,,Home,0
63378,743,2021-04-01 06:52:31+00:00,2021-04-01 06:52:31+00:00,11443.0,,,Home,0
63591,843,2021-04-06 09:32:30+00:00,2021-04-06 09:32:30+00:00,11441.0,,,Home,0
65691,988,2021-05-18 19:59:56+00:00,2021-05-18 19:59:56+00:00,11439.0,,,Home,0
66038,1001,2021-05-21 22:38:16+00:00,2021-05-21 22:38:16+00:00,11437.0,,,Home,0
66103,945,2021-05-23 09:18:40+00:00,2021-05-23 09:18:40+00:00,,DK,,Home,0
67112,1078,2021-06-06 11:58:00+00:00,2021-06-06 11:58:00+00:00,,DK,,Home,0
68862,1151,2021-07-09 09:49:11+00:00,2021-07-09 09:49:11+00:00,,DK,,Home,0
71467,1336,2021-09-03 13:09:34+00:00,2021-09-03 13:09:34+00:00,,DK,,Other,0
77910,945,2021-11-23 17:00:59+00:00,2021-11-23 17:00:59+00:00,,DK,,Home,0
227114,0,2023-01-06 15:59:18+00:00,2023-01-06 15:59:18+00:00,,DK,Active,,0
227942,0,2023-01-07 20:11:01+00:00,2023-01-07 20:11:01+00:00,,DK,Active,home,0
227947,0,2023-01-07 20:26:09+00:00,2023-01-07 20:26:09+00:00,,DK,Active,home,0
227951,0,2023-01-07 20:29:39+00:00,2023-01-07 20:29:39+00:00,,DK,Active,home,0
227955,0,2023-01-07 20:36:40+00:00,2023-01-07 20:36:40+00:00,,DK,Active,home,0
227959,0,2023-01-07 20:38:12+00:00,2023-01-07 20:38:12+00:00,,DK,Active,home,0
227981,0,2023-01-08 00:59:48+00:00,2023-01-08 00:59:48+00:00,,DK,Active,,0
227994,0,2023-01-08 01:10:56+00:00,2023-01-08 01:10:56+00:00,,DK,Active,,0
227999,0,2023-01-08 01:13:37+00:00,2023-01-08 01:13:37+00:00,,DK,Active,home,0
228522,0,2023-01-09 16:13:28+00:00,2023-01-09 16:13:28+00:00,,DK,Active,,0
228523,0,2023-01-09 16:14:25+00:00,2023-01-09 16:14:25+00:00,,DK,Active,,0
229295,0,2023-01-11 20:48:02+00:00,2023-01-11 20:48:02+00:00,,DK,Active,,0
229354,0,2023-01-12 11:24:14+00:00,2023-01-12 11:24:14+00:00,,DK,Active,,0
229710,0,2023-01-13 11:48:08+00:00,2023-01-13 11:48:08+00:00,,DK,Active,,0
230235,0,2023-01-13 19:27:47+00:00,2023-01-13 19:27:47+00:00,,DK,Active,,0
