id,user_id,created,updated,title,age_group_ids,auto_created,item_ids,code,account_ids,delivery,eat_in,takeaway,discount,discount_type,start_date_time,end_date_time,freebie_id,monday_from,monday_to,tuesday_from,tuesday_to,wednesday_from,wednesday_to,thursday_from,thursday_to,friday_from,friday_to,saturday_from,saturday_to,sunday_from,sunday_to,gender_ids,goodie_bag_id,maximum_cltv,maximum_orders,minimum_cltv,minimum_orders,minimum_spend,parent_id,area_ids,place_id,price,provider,redemptions,redemptions_per_customer,status,table_id,tier_category_ids,type,used_redemptions,validity_hours,value,variation,visibility
71566,424,2021-09-06 07:12:36+00:00,2022-08-02 23:25:12+00:00,20 DKK discount on total bill,,0.0,,,,,,,20.0,Fixed amount,2021-09-05 12:00:00+00:00,2022-09-30 12:00:00+00:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,100.0,,,59813,,,999,1.0,Inactive,,,Discount on total bill,2,,,,
71567,424,2021-09-06 07:13:30+00:00,2022-08-02 23:25:12+00:00,20 DKK discount on total bill,,0.0,,,,,,,20.0,Fixed amount,2021-09-05 12:00:00+00:00,2022-09-30 12:00:00+00:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,100.0,,,64276,,,974,1.0,Inactive,,,Discount on total bill,73,,,,
71568,424,2021-09-06 07:14:25+00:00,2022-09-30 12:00:01+00:00,20 DKK discount on total bill,,0.0,,,,,,,20.0,Fixed amount,2021-09-05 12:00:00+00:00,2022-09-30 12:00:00+00:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,100.0,,,67521,,,999,1.0,Inactive,,,Discount on total bill,3,,,,
71569,424,2021-09-06 07:18:22+00:00,2022-08-02 23:25:12+00:00,20 DKK discount on total bill,,0.0,,,,,,,20.0,Fixed amount,2021-09-05 12:00:00+00:00,2022-09-30 12:00:00+00:00,,,,,,,,,,,,,,,,,,,0.0,,0.0,100.0,,,64643,,,1000,1.0,Inactive,,,Discount on total bill,0,,,,
72092,417,2021-10-01 23:50:49+00:00,2022-08-02 23:25:12+00:00,2 for 1 on Pizza,,1.0,72091,,,,,,,Percentage,2021-09-30 23:50:15+00:00,2021-10-29 23:50:15+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,,,59897,,,1,,Inactive,,,2 for 1 on specific menu items,0,240.0,,,
72306,417,2021-10-05 17:42:00+00:00,2022-08-02 23:25:12+00:00,2 for 1 on Pizza,,0.0,72091,,72211.0,,,,,Percentage,2021-10-05 19:42:00+00:00,2021-10-15 19:42:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72372,1372,2021-10-06 13:43:07+00:00,2022-08-02 23:25:22+00:00,"Free Bæst, Fadøl with Pizza",,0.0,72091,,,,,,,Percentage,2021-10-01 13:40:21+00:00,2021-10-31 22:59:59+00:00,59960.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,59897,,,987,1.0,Inactive,,,Freebie,13,,,,
72512,417,2021-10-08 11:15:00+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72395.0,,,,,Percentage,2021-10-08 13:15:00+00:00,2021-10-18 13:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72526,417,2021-10-08 15:40:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72418.0,,,,,Percentage,2021-10-08 17:40:01+00:00,2021-10-18 17:40:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
72628,417,2021-10-08 19:53:01+00:00,2022-08-02 23:25:29+00:00,2 for 1 on Pizza,,0.0,72091,,72469.0,,,,,Percentage,2021-10-08 21:53:01+00:00,2021-10-18 21:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,100.0,72092.0,,59897,,,1,1.0,Inactive,,,2 for 1 on specific menu items,0,,,,
