id,user_id,created,updated,end_date_time,start_date_time,place_id,points,redemptions
61628,423,2021-03-05 16:06:22+00:00,2021-03-07 17:02:21+00:00,2021-03-09 00:00:00+00:00,2021-03-05 00:00:00+00:00,,150,
61922,423,2021-03-12 14:24:47+00:00,2021-11-19 12:14:48+00:00,2021-12-30 00:00:00+00:00,2021-03-11 00:00:00+00:00,59897.0,200,
61940,423,2021-03-12 15:59:22+00:00,2021-06-02 19:24:42+00:00,2021-12-31 00:00:00+00:00,2021-03-11 00:00:00+00:00,,300,
63306,423,2021-03-31 09:58:02+00:00,2021-04-29 17:01:19+00:00,2021-12-31 00:00:00+00:00,2021-03-31 00:00:00+00:00,,200,
63379,417,2021-04-01 08:24:38+00:00,2021-04-27 09:11:56+00:00,2021-12-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,,200,
63493,417,2021-04-01 22:45:11+00:00,2021-04-01 22:45:11+00:00,2021-12-31 00:00:00+00:00,2021-04-01 00:00:00+00:00,,200,
