id,user_id,created,updated,place_id,status,type
73409,417,2021-10-17 15:44:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73460,417,2021-10-17 19:35:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73493,417,2021-10-18 15:24:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73495,417,2021-10-18 15:25:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73506,417,2021-10-18 18:49:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73507,417,2021-10-18 18:49:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73510,417,2021-10-18 18:50:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73514,417,2021-10-19 13:56:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73573,417,2021-10-20 16:30:00+00:00,2022-08-02 23:26:59+00:00,59897,Inactive,2 for 1 on specific menu items
73695,417,2021-10-25 14:38:00+00:00,2022-08-02 23:27:29+00:00,59897,Inactive,2 for 1 on specific menu items
73697,417,2021-10-25 14:39:00+00:00,2022-08-02 23:27:29+00:00,59897,Inactive,2 for 1 on specific menu items
73825,417,2021-10-28 11:13:01+00:00,2022-08-02 23:27:29+00:00,59897,Inactive,2 for 1 on specific menu items
73858,417,2021-10-29 11:56:01+00:00,2022-08-02 23:27:29+00:00,64276,Inactive,Discount on specific menu items
73860,417,2021-10-29 11:57:00+00:00,2022-08-02 23:27:29+00:00,64276,Inactive,Discount on specific menu items
73994,417,2021-10-30 14:18:00+00:00,2022-08-02 23:27:29+00:00,64276,Inactive,Discount on specific menu items
73996,417,2021-10-30 14:29:01+00:00,2022-08-02 23:27:29+00:00,59897,Inactive,2 for 1 on specific menu items
74029,417,2021-10-30 19:55:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74031,417,2021-10-30 19:56:01+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74055,417,2021-10-31 14:36:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74056,417,2021-10-31 14:36:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74059,417,2021-10-31 14:37:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74124,417,2021-11-03 21:00:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74274,417,2021-11-05 14:38:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74310,417,2021-11-05 20:51:00+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
74312,417,2021-11-05 20:52:01+00:00,2022-08-02 23:27:49+00:00,59897,Inactive,2 for 1 on specific menu items
75910,417,2021-11-08 10:32:29+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75926,417,2021-11-08 10:46:41+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75927,417,2021-11-08 10:46:41+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75930,417,2021-11-08 10:46:42+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75932,417,2021-11-08 10:46:42+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75941,417,2021-11-08 10:46:42+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75944,417,2021-11-08 10:46:43+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75951,417,2021-11-08 10:46:43+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75955,417,2021-11-08 10:46:43+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75961,417,2021-11-08 10:46:44+00:00,2022-08-02 23:28:19+00:00,59897,Inactive,2 for 1 on specific menu items
75964,417,2021-11-08 10:46:44+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
75971,417,2021-11-08 10:46:45+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
75974,417,2021-11-08 10:46:45+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
75980,417,2021-11-08 10:46:45+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
75984,417,2021-11-08 10:46:46+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
75991,417,2021-11-08 10:46:46+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
75994,417,2021-11-08 10:46:47+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
76002,417,2021-11-08 10:46:47+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
76004,417,2021-11-08 10:46:47+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
76011,417,2021-11-08 10:46:48+00:00,2022-08-02 23:28:52+00:00,59897,Inactive,2 for 1 on specific menu items
76014,417,2021-11-08 10:46:48+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76021,417,2021-11-08 10:46:49+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76025,417,2021-11-08 10:46:49+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76031,417,2021-11-08 10:46:49+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76034,417,2021-11-08 10:46:50+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76042,417,2021-11-08 10:46:50+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76045,417,2021-11-08 10:46:51+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76050,417,2021-11-08 10:46:51+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76054,417,2021-11-08 10:46:51+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
76060,417,2021-11-08 10:46:52+00:00,2022-08-02 23:29:26+00:00,59897,Inactive,2 for 1 on specific menu items
