"id","user_id","created","updated","place_id","status","type"
75955,417,1636368403,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75961,417,1636368404,1659482899,59897,Inactive,"2 for 1 on specific menu items"
75964,417,1636368404,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75971,417,1636368405,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75974,417,1636368405,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75980,417,1636368405,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75984,417,1636368406,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75991,417,1636368406,1659482932,59897,Inactive,"2 for 1 on specific menu items"
75994,417,1636368407,1659482932,59897,Inactive,"2 for 1 on specific menu items"
76002,417,1636368407,1659482932,59897,Inactive,"2 for 1 on specific menu items"
76004,417,1636368407,1659482932,59897,Inactive,"2 for 1 on specific menu items"
76011,417,1636368408,1659482932,59897,Inactive,"2 for 1 on specific menu items"
76014,417,1636368408,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76021,417,1636368409,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76025,417,1636368409,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76031,417,1636368409,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76034,417,1636368410,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76042,417,1636368410,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76045,417,1636368411,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76050,417,1636368411,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76054,417,1636368411,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76060,417,1636368412,1659482966,59897,Inactive,"2 for 1 on specific menu items"
76064,417,1636368412,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76071,417,1636368412,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76075,417,1636368413,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76081,417,1636368413,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76085,417,1636368413,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76091,417,1636368414,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76094,417,1636368414,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76101,417,1636368415,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76104,417,1636368415,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76111,417,1636368416,1659483000,59897,Inactive,"2 for 1 on specific menu items"
76114,417,1636368416,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76119,417,1636368416,1659483037,59897,Inactive,"2 for 1 on specific menu items"
76126,417,1636368417,1659483037,59897,Inactive,"2 for 1 on specific menu items"
