place_id,date,hour,day_of_week,day_of_month,month,week_of_year,is_weekend,is_lunch,is_dinner,predicted_orders,staff_needed,shift,day_name
94025.0,2024-02-21,9,2,21,2,8,0,0,0,2,2,Morning,Wednesday
94025.0,2024-02-21,10,2,21,2,8,0,0,0,2,2,Morning,Wednesday
94025.0,2024-02-21,11,2,21,2,8,0,1,0,2,2,Morning,Wednesday
94025.0,2024-02-21,12,2,21,2,8,0,1,0,2,2,Afternoon,Wednesday
94025.0,2024-02-21,13,2,21,2,8,0,1,0,2,2,Afternoon,Wednesday
94025.0,2024-02-21,14,2,21,2,8,0,1,0,2,2,Afternoon,Wednesday
94025.0,2024-02-21,15,2,21,2,8,0,0,0,2,2,Afternoon,Wednesday
94025.0,2024-02-21,16,2,21,2,8,0,0,0,2,2,Afternoon,Wednesday
94025.0,2024-02-21,17,2,21,2,8,0,0,0,3,2,Evening,Wednesday
94025.0,2024-02-21,18,2,21,2,8,0,0,1,3,2,Evening,Wednesday
94025.0,2024-02-21,19,2,21,2,8,0,0,1,3,2,Evening,Wednesday
94025.0,2024-02-21,20,2,21,2,8,0,0,1,3,2,Evening,Wednesday
94025.0,2024-02-21,21,2,21,2,8,0,0,1,3,2,Evening,Wednesday
94025.0,2024-02-21,22,2,21,2,8,0,0,0,3,2,Night,Wednesday
94025.0,2024-02-21,23,2,21,2,8,0,0,0,3,2,Night,Wednesday
94025.0,2024-02-22,6,3,22,2,8,0,0,0,2,2,Morning,Thursday
94025.0,2024-02-22,7,3,22,2,8,0,0,0,2,2,Morning,Thursday
94025.0,2024-02-22,8,3,22,2,8,0,0,0,2,2,Morning,Thursday
94025.0,2024-02-22,9,3,22,2,8,0,0,0,2,2,Morning,Thursday
94025.0,2024-02-22,10,3,22,2,8,0,0,0,2,2,Morning,Thursday
94025.0,2024-02-22,11,3,22,2,8,0,1,0,2,2,Morning,Thursday
94025.0,2024-02-22,12,3,22,2,8,0,1,0,2,2,Afternoon,Thursday
94025.0,2024-02-22,13,3,22,2,8,0,1,0,2,2,Afternoon,Thursday
94025.0,2024-02-22,14,3,22,2,8,0,1,0,2,2,Afternoon,Thursday
94025.0,2024-02-22,15,3,22,2,8,0,0,0,2,2,Afternoon,Thursday
94025.0,2024-02-22,16,3,22,2,8,0,0,0,2,2,Afternoon,Thursday
94025.0,2024-02-22,17,3,22,2,8,0,0,0,3,2,Evening,Thursday
94025.0,2024-02-22,18,3,22,2,8,0,0,1,3,2,Evening,Thursday
94025.0,2024-02-22,19,3,22,2,8,0,0,1,3,2,Evening,Thursday
94025.0,2024-02-22,20,3,22,2,8,0,0,1,3,2,Evening,Thursday
94025.0,2024-02-22,21,3,22,2,8,0,0,1,3,2,Evening,Thursday
94025.0,2024-02-22,22,3,22,2,8,0,0,0,3,2,Night,Thursday
94025.0,2024-02-22,23,3,22,2,8,0,0,0,3,2,Night,Thursday
94025.0,2024-02-23,6,4,23,2,8,0,0,0,2,2,Morning,Friday
94025.0,2024-02-23,7,4,23,2,8,0,0,0,2,2,Morning,Friday
94025.0,2024-02-23,8,4,23,2,8,0,0,0,2,2,Morning,Friday
94025.0,2024-02-23,9,4,23,2,8,0,0,0,2,2,Morning,Friday
94025.0,2024-02-23,10,4,23,2,8,0,0,0,2,2,Morning,Friday
94025.0,2024-02-23,11,4,23,2,8,0,1,0,2,2,Morning,Friday
94025.0,2024-02-23,12,4,23,2,8,0,1,0,2,2,Afternoon,Friday
94025.0,2024-02-23,13,4,23,2,8,0,1,0,2,2,Afternoon,Friday
94025.0,2024-02-23,14,4,23,2,8,0,1,0,2,2,Afternoon,Friday
94025.0,2024-02-23,15,4,23,2,8,0,0,0,2,2,Afternoon,Friday
94025.0,2024-02-23,16,4,23,2,8,0,0,0,2,2,Afternoon,Friday
94025.0,2024-02-23,17,4,23,2,8,0,0,0,3,2,Evening,Friday
94025.0,2024-02-23,18,4,23,2,8,0,0,1,3,2,Evening,Friday
94025.0,2024-02-23,19,4,23,2,8,0,0,1,3,2,Evening,Friday
94025.0,2024-02-23,20,4,23,2,8,0,0,1,3,2,Evening,Friday
94025.0,2024-02-23,21,4,23,2,8,0,0,1,4,2,Evening,Friday
94025.0,2024-02-23,22,4,23,2,8,0,0,0,4,2,Night,Friday
94025.0,2024-02-23,23,4,23,2,8,0,0,0,4,2,Night,Friday
